0xd944, 0x18bc
0x49ca, 0x49f6
0x4720, 0x22bf
0xb028, 0x72fa
0x722a, 0x3eae
0xcec7, 0x59a7
0x3f67, 0x3da7
0xa96e, 0x8940
0xbe8f, 0xef5f
0xbbd4, 0x27f
0x27f8, 0xeaf3
0x705f, 0x3593
0x3d1e, 0xd0f5
0x6a8a, 0x1ce0
0x1c3c, 0x77bc
0xd01b, 0xc9ac
0x7b8f, 0x3a0f
0xc92c, 0xca7c
0x542e, 0x5c7a
0x3203, 0xadb4
0x9702, 0x7d0
0xd27e, 0x6198
0x9934, 0xda1e
0x2921, 0xef7b
0xf8f4, 0xfb72
0x3740, 0x3036
0x8da4, 0x3b83
0xcd30, 0x8786
0x3e1a, 0x5727
0x7d0, 0x9702
0xef1b, 0x48d2
0xdc21, 0xb071
0x77dc, 0xc238
0x6ae7, 0x503f
0x1a73, 0xacb9
0xd429, 0xfb8c
0x9133, 0x9453
0x441, 0x4569
0x9edf, 0x61c0
0xc57d, 0xc528
0xee7f, 0xae11
0x5887, 0xa304
0x185d, 0x88a7
0xefe4, 0x1cb0
0x4709, 0x978c
0xff60, 0xc51e
0xc4f8, 0x31c8
0x7ee0, 0x7662
0xc752, 0x9705
0x5a97, 0x65ac
0xab25, 0x3f2b
0x2b96, 0x8a14
0x1482, 0xf41d
0xe682, 0xe7da
0xfb91, 0xe92
0xbf3d, 0xb398
0x774c, 0x16e4
0x9cc, 0xbd7b
0x9607, 0x31a4
0x5046, 0xc081
0x2fdf, 0xfd3c
0x1f2d, 0xf4de
0x917b, 0x6904
0xff9b, 0x47a9
0x2907, 0xe9d5
0x5bf0, 0xfb11
0x6187, 0x61e5
0x2e21, 0x88fa
0xb814, 0x2890
0xa236, 0x6111
0x14a3, 0xc14b
0x98c5, 0x8965
0xff7c, 0xf469
0x69d4, 0x38d3
0x5d19, 0x45ba
0x3c92, 0x39e1
0x7033, 0xdba6
0xea6b, 0x902e
0x12de, 0x9508
0xf0d4, 0x8020
0x51c4, 0x54c2
0xdd24, 0x16e7
0x6ef8, 0x2671
0x4928, 0x497d
0x2c1c, 0xeaa
0xb411, 0xbcf1
0x8b85, 0x6b0f
0xc966, 0x851a
0xcce, 0xb4d0
0xb077, 0x19f9
0x12e2, 0x20b9
0xaa5a, 0xb76e
0x5263, 0xf2f6
0xc62f, 0x364a
0xa6a2, 0x3618
0x2e8f, 0xe88f
0x1cef, 0x1646
0x41f7, 0xe83c
0x1bf1, 0x8bee
0x4944, 0xe21a
0x7e11, 0xc8c9
0xc352, 0x9554
0xe5f1, 0x9a65
0xbe76, 0x187d
0xd848, 0xd84d
0xa8ad, 0xa9c1
0xd4b5, 0xa73d
0xa339, 0x7897
0xa1fb, 0xd29f
0xc08b, 0xc2e0
0xbdd6, 0x22d4
0x5e4b, 0xa221
0xdbd4, 0x31d6
0xbe58, 0x10df
0xf357, 0xeb97
0x5efd, 0x5ec8
0x4997, 0xbfbb
0x7dda, 0x4a14
0x9d3a, 0x9f38
0x7b5f, 0x5bcb
0x2f8c, 0x2de1
0xe186, 0xea53
0x1908, 0x9ca8
0x23c8, 0x2d91
0x313d, 0xed58
0x4d10, 0x4fc0
0x5502, 0xb24
0x6485, 0x8095
0xc6da, 0x3b19
0xe6de, 0x1256
0xe12d, 0x1ac8
0x186, 0x9e6
0xf993, 0x181a
0x125b, 0x3f8c
0x62d1, 0x334c
0x88a4, 0x8e64
0xa9fa, 0x898f
0xfdb9, 0xf103
0xb324, 0xe303
0x98a4, 0xcea4
0xbe16, 0xae41
0xad73, 0x2058
0xf329, 0xdeb9
0x295b, 0xeeab
0xe30, 0x6830
0x350c, 0x150c
0xfae9, 0x2991
0xdfb1, 0xbdbc
0x63a0, 0x7699
0xfab1, 0x1afa
0x3604, 0xb76c
0x95c, 0xa17b
0xb61c, 0x6ec5
0x6e5b, 0x740f
0xff3c, 0xc5c7
0xd01, 0x9bd0
0xd3a4, 0xe104
0x8460, 0xa44b
0xe468, 0xacfc
0x8b67, 0x3638
0x4e1, 0xf2e5
0x2482, 0xecd1
0x104e, 0x59ed
0x34f9, 0x1925
0x22ca, 0x22fa
0x576e, 0xe7c5
0x759, 0x106a
0x1ba8, 0x78c3
0xf951, 0xb5c5
0xfe05, 0xd6ee
0x2383, 0x3afe
0xd76c, 0xbd6c
0x2ed, 0x7ed
0x75ac, 0xb826
0x9af0, 0x76c7
0x9183, 0xf3a7
0x6be9, 0x6132
0xf2d, 0xa4f4
0x8fda, 0xf53f
0x8571, 0x9d9a
0x88ac, 0x945f
0x2046, 0x7968
0xf046, 0x10e1
0x1ea8, 0x1e6d
0x6171, 0x3b95
0x7f07, 0x4f05
0xb4c2, 0xf89
0x7160, 0x7a4e
0xbf34, 0x2552
0x3d5c, 0xcdcd
0xcbee, 0x8b74
0x38b5, 0x18b7
0xb44e, 0xda6e
0xfea3, 0x36da
0x68e2, 0x1d81
0xd354, 0x4328
0x9909, 0xa95c
0xc438, 0xc1d3
0x28a9, 0xe8af
0x7e5d, 0xf898
0x6280, 0xbfa2
0xb13, 0x6660
0x2ef7, 0xdead
0xdbb, 0x2791
0xadf, 0x4a2a
0xab2e, 0x2899
0xec00, 0x90b8
0x6352, 0x43c6
0xdc8e, 0x8e42
0xd097, 0xb5f5
0xec23, 0xdb31
0xec1f, 0x2065
0x68da, 0x6e0a
0x2201, 0x8a20
0x8ae8, 0x6ee8
0xfeab, 0xce04
0x8e66, 0x2e41
0x534a, 0x9379
0xf946, 0x5990
0x3f91, 0x4576
0x17eb, 0x6bd6
0xb217, 0x462c
0x356c, 0x9957
0x8de4, 0x6f7f
0x9136, 0x9121
0x580, 0x5f8b
0x6d01, 0xc600
0x1ddb, 0xadbd
0x7915, 0xf9af
0xbb95, 0xa1f2
0x6322, 0xf473
0x9cf, 0x6462
0x4b96, 0xe4b9
0x9bb2, 0x953f
0xa302, 0xa87a
0x5c45, 0x8c17
0x67ff, 0x3b00
0xd0cc, 0x68ad
0x7d4c, 0xb546
0xc003, 0x9038
0x304e, 0xa026
0xf7e, 0xbe97
0xb4ce, 0xb900
0x999c, 0x4909
0xd9ae, 0xe931
0x4457, 0xbddb
0xa461, 0x7aa2
0x4d24, 0xb214
0x44b2, 0xbbd6
0xe62d, 0x2427
0x6581, 0x8b24
0xdb31, 0xec23
0xd15, 0x317
0x8c54, 0x2c1b
0xc3f3, 0x8126
0xe198, 0x7535
0x64e, 0x6e6b
0x1bd5, 0x6743
0x60c4, 0x34d7
0xa9e0, 0xc472
0x3da3, 0xb3ab
0x4b66, 0x263f
0x8050, 0xdba2
0x4184, 0x2ca0
0xe5c0, 0xe5f3
0xff1d, 0x8c21
0x5367, 0x17a5
0x3528, 0xbd2d
0x58, 0x2aec
0xe8ce, 0x4a3d
0xf415, 0xa5cb
0xe021, 0x207c
0x67ba, 0x95d4
0xfafe, 0xf923
0xd60e, 0x1e67
0x87b9, 0x83a9
0xbc2f, 0x33fe
0xb204, 0xbd74
0x595d, 0x8938
0x2409, 0xb90
0xccc5, 0x9c2f
0x376f, 0x32af
0xe4e7, 0xf4e7
0x9c81, 0x158d
0xbccd, 0xec04
0xeddc, 0xe2db
0xad1e, 0x8f89
0xdb2e, 0x3eb7
0x2f5, 0xae21
0xb1fb, 0xe267
0x71f8, 0x80c
0x5ed5, 0xe560
0x8d98, 0x5adb
0x128e, 0x2dd6
0x7afb, 0x8a8e
0x94fc, 0x3ff8
0x8e7a, 0x85b9
0x4748, 0x771d
0xf9ec, 0x3a46
0xb885, 0xa1
0x8734, 0x87d7
0x1fb1, 0x5417
0xf987, 0x21d5
0x4b2c, 0xd717
0x412e, 0x6a80
0x9475, 0xab47
0xca4e, 0x2a10
0x246c, 0xd9ab
0x6274, 0xef79
0x4c69, 0x45be
0xdbfc, 0xb245
0x2b30, 0xba53
0x2897, 0x2eb7
0x950c, 0x2607
0xb5ab, 0xbf1b
0xbd55, 0x6e13
0x59d5, 0x8907
0x4382, 0x43e4
0xfc39, 0x3ac3
0x9262, 0x537e
0xeabb, 0xe9be
0x30b4, 0x53d6
0x8919, 0x73fd
0xdd1e, 0xe524
0x56dc, 0x56ac
0xa883, 0xd813
0xf5f, 0x468f
0xdf85, 0xbc63
0x4eeb, 0x40c8
0x879b, 0x3bd8
0x55d6, 0x5c76
0x3b57, 0xf1cc
0x932a, 0x23e5
0xf7f6, 0x521e
0xa57e, 0x7177
0xdca0, 0x9710
0xae82, 0xa7da
0x1cfb, 0xfd38
0x53f7, 0x5342
0x5240, 0x8f90
0x4ad3, 0xc9b8
0xbf92, 0x31f1
0x30d5, 0x3cd5
0x73c0, 0xaf94
0xa473, 0x5c1
0xef03, 0xdf72
0x741a, 0xe60a
0xc82f, 0x8949
0x4bfc, 0x67b5
0xb0cf, 0xd4f9
0xb624, 0x7f9f
0xdc2f, 0xc0f5
0x80d2, 0xb74b
0xa981, 0x1916
0x323a, 0xe60b
0xeded, 0x66da
0x376, 0xcdf2
0x5863, 0x98f2
0xa2a2, 0xf264
0x451a, 0xcb07
0xab3f, 0x7d9c
0x7c7f, 0x7079
0xe0e3, 0x2255
0xb265, 0x315
0xe352, 0xe532
0x8fb6, 0xdadb
0xb64b, 0x2eac
0x9dae, 0xbddf
0xc514, 0x277a
0x2e41, 0x8e66
0xc52a, 0xa990
0x5c84, 0xbe31
0x490b, 0x79de
0x578b, 0x6bb6
0xeda7, 0xde71
0x105e, 0xb7dd
0xabcb, 0xfbce
0x6787, 0xed41
0xbd90, 0xd2b3
0x48cb, 0xea22
0x27ed, 0xf2d3
0x8615, 0x8ad2
0x1b27, 0xaf50
0x6c14, 0x3ed7
0x6edb, 0xbee
0x2b66, 0x2742
0xf84, 0x63e2
0x42db, 0x4bbc
0x5b2c, 0xce0b
0xce42, 0x7ca5
0xd57d, 0xdffd
0xfc66, 0xdc01
0xcac7, 0xc9f7
0x162d, 0x8655
0xbed7, 0x5c64
0x4e33, 0x7e50
0x1399, 0xc445
0xddae, 0x3d10
0x91b9, 0x814a
0xd644, 0xe6b0
0x41c0, 0xf0
0x57d6, 0xc876
0x6ca4, 0x66e2
0x884c, 0x581c
0x287e, 0x6fdf
0x670a, 0xdbd0
0xbaf1, 0x68ce
0x3638, 0x8b67
0x4d59, 0x4859
0xa61, 0xc8e1
0x43a8, 0xebd6
0xbe8e, 0x855b
0xc35a, 0xb55a
0x5ff3, 0x8fc0
0x9d0, 0x1574
0x4567, 0x857a
0x1c88, 0x769e
0x968c, 0x7a86
0x456c, 0xc6c
0xe70d, 0x9876
0xd4ca, 0xd1c6
0xd49b, 0xd85b
0x38bf, 0xa47c
0xc61b, 0xcb4b
0x3ddd, 0xccd2
0x82de, 0x869d
0x3734, 0x3254
0x1516, 0xf5a1
0x77e5, 0x37e5
0x9ed0, 0x9a16
0x66a6, 0x7669
0xb5d4, 0xaa6a
0xaede, 0x6844
0xff5a, 0x199d
0x6866, 0xa686
0xd199, 0xf773
0xc9c9, 0x9986
0x7f58, 0x7f3d
0xf772, 0x7d44
0x8b50, 0x8630
0x1c97, 0x16ed
0x96ba, 0x861f
0x2e36, 0xb9e6
0x5076, 0x6b0d
0xca61, 0xc912
0x9f5d, 0xba56
0x482f, 0x1f7e
0x9092, 0x55b3
0x2d53, 0x2d33
0x5995, 0x2970
0x27b5, 0xe7b7
0x5c29, 0x3d2d
0xb94e, 0xba10
0xa4c2, 0xaacc
0xd406, 0x3f8d
0x3e8, 0xe291
0x9696, 0x6c1
0x7eae, 0x8c42
0xcab, 0x5a48
0xb7a0, 0xb226
0xf41d, 0x1482
0x633e, 0x698d
0x3a01, 0x7a16
0x2a1f, 0x8da3
0x7db0, 0x7a73
0x7dcb, 0xad23
0x7f52, 0x7d32
0x9cc6, 0x7754
0x44c3, 0xb739
0x3d1d, 0xfb21
0x4069, 0x759b
0x804c, 0xd4ec
0x5f65, 0x8fa7
0x1b6f, 0x380e
0x4d20, 0x411f
0xe038, 0x9017
0xecd2, 0xd228
0xc083, 0xe0b8
0xd565, 0x7756
0xfebe, 0x37ea
0xf97b, 0x3795
0x912a, 0x613c
0xd806, 0x9653
0xed05, 0x2dd7
0xe469, 0x8302
0xe0c0, 0x1a6b
0x6218, 0xd40d
0xb5d1, 0xb30c
0x3630, 0x3f9b
0x2518, 0x3bb0
0xb48b, 0xec17
0x4251, 0x4751
0xa254, 0xf752
0x2f94, 0x4f10
0x1edc, 0xdb48
0x28cf, 0x2eff
0xb00, 0x31da
0x92df, 0x527a
0x4c54, 0x4034
0xd7fc, 0xb7fc
0xca6c, 0xece8
0x5893, 0x38c7
0xe8d3, 0x6822
0xf405, 0x9434
0x60fe, 0x70e1
0x2d4c, 0x5ca7
0xe0f, 0xd3d5
0xbafb, 0xb10e
0x2fd9, 0xe36c
0x7333, 0xf530
0xc564, 0xa853
0xe7aa, 0x1b00
0xc431, 0x3b5b
0x4663, 0xf143
0x3b80, 0x36e0
0xc87b, 0x1a24
0x36c1, 0x16fc
0x5c41, 0xeb11
0xc1ed, 0xc4ed
0x937c, 0x4349
0x68e8, 0x50ab
0x745b, 0x743e
0x251, 0xc72a
0x30e2, 0xd65c
0xdfe7, 0xb063
0x7df8, 0x9e48
0x47bd, 0x77b8
0x79e3, 0x7607
0xab9d, 0x5a46
0x2474, 0x415d
0x1ff8, 0x44fc
0xefd9, 0xe2b3
0xeaf7, 0xe1be
0xf090, 0xc3b2
0xdc1b, 0xa2da
0x8e13, 0xe8f1
0x6451, 0x8d20
0xd532, 0xd352
0x9c7b, 0xe070
0xea66, 0x8a5f
0x5c4c, 0x1d94
0xf7f4, 0x5840
0x831, 0xfd2f
0x13d7, 0x6924
0x5601, 0x581a
0xa8ea, 0x88f9
0xcc3c, 0xc0df
0x2e16, 0x82a2
0x3486, 0x99cb
0x31ee, 0xdeca
0xfc67, 0xc52f
0xcb9d, 0xe9cb
0xe906, 0xea7f
0x7999, 0x213c
0xc41d, 0x9c10
0x5e01, 0x6b1d
0x3380, 0x8a5a
0x9723, 0x17d2
0x5ba5, 0x18c
0xa766, 0xe7ac
0xe8aa, 0x92ac
0xce1f, 0x5e7a
0xf21, 0xd356
0xf08f, 0x641f
0x10c, 0x58a5
0x1bd1, 0xff95
0x362b, 0xa74c
0x3501, 0x15dc
0x921c, 0xc575
0xfb6d, 0xb655
0xc9f8, 0x17a6
0xfed9, 0xf29d
0xc93a, 0x541a
0xc734, 0x4c92
0x4478, 0x460d
0x418c, 0xf794
0x53d, 0xda8e
0x42a8, 0x77ad
0x51a, 0x2529
0x3727, 0xcb2b
0xc112, 0x1ac3
0x9631, 0xe359
0x11f5, 0x11c7
0x5850, 0xbcda
0x8230, 0x3608
0x5b59, 0xa510
0x399d, 0x545a
0x7da, 0x185f
0x4c54, 0x4034
0x3c83, 0xac86
0x17f6, 0x6c92
0x4692, 0x4203
0x3ce7, 0x3efc
0xac5a, 0xaaa4
0x1d6a, 0xf941
0xe216, 0xafc1
0xecc1, 0x2ceb
0xcbf6, 0xa318
0x7a37, 0x7295
0x51bb, 0x5dd8
0xf752, 0xa254
0x127c, 0xf50c
0x4152, 0x163
0xc1b4, 0xd46b
0xd13d, 0xad58
0x256e, 0x9392
0x7ac0, 0x714e
0xcbb3, 0x2c73
0x9bbf, 0xfb4a
0x3e93, 0xd4c3
0xf7ff, 0xf7c9
0x67e3, 0x9670
0x30d1, 0x6099
0xc65e, 0x87b0
0x3246, 0x1781
0x418b, 0xe181
0x83d1, 0x929
0x9eef, 0xf98f
0xa14c, 0xee19
0x4ef7, 0x33e5
0x520d, 0x57dd
0xb33e, 0x25b7
0x5f21, 0x4473
0x773, 0xb7b9
0x5663, 0x69c7
0x22a7, 0xc2b6
0xa088, 0x32ff
0x794c, 0xac6d
0xc29f, 0x124a
0xdf25, 0x33f5
0x7054, 0x6005
0x3adf, 0xe73f
0x2579, 0xf245
0xfcfe, 0xf0fe
0xe05a, 0x9f55
0x6cf6, 0xcca
0x9e9f, 0xfe4a
0xd737, 0xd319
0x2eb2, 0x2e92
0xd2da, 0x7c20
0x25f1, 0xc145
0xf062, 0x4cdd
0x90b5, 0xc48d
0x99d8, 0x990d
0x8ee2, 0x3069
0x3942, 0x9e40
0xc5a9, 0x752c
0xc438, 0xc1d3
0x10e8, 0x108d
0x7d71, 0xd5f8
0x9642, 0x1412
0x4354, 0xd34
0x49d5, 0x4ad5
0xb9c9, 0xe83f
0x2339, 0xcb5c
0xf2a3, 0xaed3
0x1751, 0xa43e
0xbe1a, 0xe82f
0x87c0, 0x8a94
0x9bdd, 0x960d
0x5ccf, 0xd1ec
0x4051, 0xba6d
0x790f, 0x98ef
0x6bc8, 0xc398
0xb6d3, 0x4289
0x1e26, 0x3ecd
0x9fd4, 0xcf20
0x77a8, 0x72a8
0x6dba, 0x8103
0x85c5, 0x8c51
0xdc68, 0x1b6
0x4059, 0x6759
0x7589, 0xaebc
0xe8de, 0xc880
0x462f, 0xc2f7
0x29fe, 0x5e7c
0x92dd, 0x551d
0x6b3c, 0xb31
0x3940, 0x11e
0x95e2, 0x4a87
0xb986, 0x1b37
0xeac4, 0x84fe
0xa87f, 0x13cb
0xf7e2, 0xba85
0xe90e, 0x4a80
0xb310, 0x2324
0xf89b, 0xa653
0xf3b6, 0x13f1
0x2d37, 0xb3eb
0x5609, 0x1059
0x6589, 0x96a0
0xa44b, 0x8460
0x34f6, 0xc1c6
0xc912, 0xca61
0xe08e, 0x22b8
0x16c, 0x81a1
0xf4e9, 0x5189
0xc37b, 0x932e
0x2ce3, 0x20e3
0x8bcb, 0x9f66
0x40a8, 0xd7d1
0xbff1, 0x451c
0x6d41, 0x6707
0xd5f9, 0xd3ff
0x8ba6, 0x6950
0xe02c, 0x64b8
0xc6ab, 0xafd4
0xa68d, 0xf6e8
0xfa14, 0x2170
0xd55e, 0xb020
0x4009, 0x52e2
0xf576, 0x89fc
0x5cc1, 0xf516
0xcb30, 0x169b
0x2247, 0xe058
0xce76, 0xc85c
0xe01f, 0xc017
0x8182, 0x8adc
0xc31e, 0xfda0
0x421b, 0x6cec
0x2cda, 0x4c19
0xccd7, 0x9c05
0xca9a, 0x5d4e
0xade1, 0xdb27
0x8ce, 0xeb9
0x1d06, 0x7e0
0xb608, 0x85b
0x33a6, 0xf71a
0x90db, 0xc0db
0x8cc, 0xc8ee
0xc155, 0x2746
0x4c6d, 0x34f
0xb43d, 0xb998
0x5ccd, 0x54f3
0xd999, 0x13c
0x5240, 0x8f90
0x87fc, 0x4d46
0xefba, 0x7773
0xda99, 0x1248
0xb1dc, 0xbc31
0x146b, 0xf795
0x2f3a, 0xdfaf
0x9da6, 0x1b07
0x650e, 0x8f65
0x50, 0x4d30
0x89d, 0x7b37
0xe381, 0xef97
0x5afb, 0x503d
0x2567, 0xbe81
0xf512, 0x70f1
0x1ae, 0xe36a
0xbc32, 0xdc54
0xa32b, 0x4ebf
0x6e, 0x6ae8
0x52cc, 0x9fc5
0x96ac, 0x661a
0x3a0f, 0x7b8f
0x4292, 0xb603
0xe7ae, 0xf663
0xa527, 0xc253
0xc4a7, 0x2f74
0x6807, 0xab4
0x86f1, 0xec2
0x20c5, 0x86b5
0xbc0f, 0x2016
0xab5d, 0x7d3
0xbf63, 0xbf99
0x3167, 0x9d85
0x514b, 0xa1bc
0x507a, 0x1707
0x9e33, 0x1ea2
0x350f, 0xc36b
0xaef, 0x4a89
0xdc22, 0x8a6f
0x74f1, 0x7a71
0x5282, 0x5861
0x5031, 0x9026
0x20c3, 0x3aae
0x7898, 0x35a4
0x4e0b, 0x8ea4
0xfc5b, 0xaab3
0x3171, 0x5d07
0x7f6c, 0xab72
0xe6e7, 0x23d1
0x3aaf, 0x6f32
0x3597, 0x15fe
0xdaff, 0xfff5
0xf87c, 0xb747
0xbda5, 0x5deb
0xba0b, 0x8536
0xaeb6, 0xdcba
0x8a3d, 0x17fb
0xdf24, 0x9feb
0x98c9, 0x784c
0x177f, 0xd563
0x548f, 0x8489
0x2268, 0x22ad
0x6474, 0xcde8
0x4760, 0x7e4
0xd54e, 0x3560
0x293, 0x3c39
0xd418, 0x84c0
0x7a5, 0x67a7
0x3ddb, 0xba5d
0xdbff, 0xd6f9
0x4398, 0x4f3d
0x57e4, 0xb08
0x705, 0x5ce5
0x12db, 0x37de
0x4fc9, 0x5ff
0xb5fe, 0xfcda
0xec99, 0x377e
0x7463, 0x76ca
0x77dc, 0xc238
0xce3b, 0x3e44
0x9c9a, 0x36c6
0x6ede, 0x80e
0x2fe3, 0x36e5
0xb04, 0xcd55
0x8b5a, 0x86de
0xf68d, 0xb4c8
0x3ade, 0xb9cb
0xcc90, 0xac42
0x268f, 0xead9
0xea8, 0x2b1c
0xa35c, 0xd9a5
0x56d6, 0x81e8
0x1a2a, 0xdb75
0x37a1, 0xdb04
0x7592, 0xafa0
0xf80e, 0x78d0
0xe52a, 0xc3b1
0xf7f1, 0xcb22
0xbbcb, 0xdbfe
0x43df, 0xc5bc
0x5783, 0xf6b8
0xf397, 0x44bb
0x34c7, 0x9b55
0xa98b, 0xf180
0xfd93, 0xb6da
0x2a4f, 0xe9a7
0xb597, 0xe3c7
0xd912, 0xda42
0x67e2, 0xd102
0x9253, 0x9750
0x2b33, 0x31be
0x5086, 0x68a2
0xd00f, 0x79ad
0xbfb9, 0xd75a
0x7562, 0x76c4
0xe6d5, 0x2b05
0xac3e, 0xfc2f
0x6c5a, 0x438a
0xd4b0, 0xb1c0
0x33fe, 0xbc2f
0x1b97, 0x3027
0x782f, 0x97ff
0xf1b1, 0x4a43
0x29e0, 0xafa7
0x9812, 0x5241
0xf370, 0xa3fe
0x948d, 0xaae5
0x9ed4, 0xaad6
0xc624, 0x66b
0x2134, 0xe434
0xd5da, 0xb71e
0xe2b1, 0x6cf8
0xb196, 0x1235
0x8e1a, 0xf819
0x33a0, 0xd31e
0x73a0, 0xef34
0x5c08, 0x5cd8
0x4564, 0x8f5d
0xa54d, 0xa31d
0xff51, 0xef27
0xfb40, 0xf0c4
0x7687, 0x55de
0x6d8a, 0x6fea
0x2c86, 0x2f64
0x3d09, 0x6a7f
0xb1d5, 0xc9e5
0x8b96, 0xe5ad
0x73e, 0xc2c3
0xcac1, 0xa8fb
0x50cb, 0xa004
0x89ea, 0x5ae6
0x142d, 0xc407
0x9188, 0x91ed
0xbfb9, 0xd75a
0xb840, 0xbe10
0x8442, 0x51f5
0x3624, 0x572f
0x4ec8, 0x4b28
0x104, 0xfc96
0x9dd3, 0x2f8e
0xc3df, 0xcbb5
0xec2c, 0x438
0xbc2b, 0x24f5
0xe242, 0x7f1a
0x33d, 0xd903
0xd8f3, 0xb8c0
0x877d, 0x9707
0x64ef, 0x74ca
0xcae4, 0xf779
0x6169, 0xfc54
0x3f05, 0x5171
0xfcde, 0xf0de
0x63eb, 0x8996
0x1516, 0xf5a1
0x8f3b, 0x78dc
0x561f, 0xc6ba
0x79bd, 0x34da
0xd9d3, 0x59a
0xa7bc, 0x344d
0xa762, 0x3bc0
0xa24f, 0x9206
0xa99b, 0xaa9e
0x9c5b, 0xcc3e
0x4d81, 0x2626
0x8b6d, 0x866d
0x4d27, 0x3a65
0x69e3, 0x4470
0x1f22, 0x9fd3
0xf57, 0x5f57
0xfc54, 0x6169
0x7708, 0x1264
0x62f5, 0x2345
0x2969, 0x6dd1
0xecfd, 0xaa8c
0x88e7, 0xe8f3
0x3297, 0x803b
0xb068, 0x2c37
0xa61, 0xc8e1
0xedc5, 0x6d20
0x80a7, 0x5065
0x14ef, 0x39d7
0xdff, 0xbce0
0x6eff, 0x689e
0x6a86, 0x7b80
0x305d, 0x8f1
0x4ade, 0x2f01
0x6e0e, 0xedb
0x889d, 0xe4b7
0xf604, 0x26cb
0x48c, 0x81e1
0x2533, 0x2553
0xa409, 0xaa3f
0x4806, 0x3e41
0x7101, 0x90d1
0x5866, 0x1e4c
0x5dbf, 0x76d9
0x2b4a, 0x44a2
0xd0e7, 0xbefc
0x6943, 0xc49c
0xbadb, 0x5556
0x3aee, 0x23e0
0xa488, 0x2b49
0xf625, 0xd323
0x1fe9, 0xcf60
0x9e31, 0x9f59
0x509f, 0xf2b6
0x1c9c, 0x3cb1
0x3b01, 0x3394
0x1940, 0x614b
0x7838, 0x4bbd
0x1c3d, 0xc968
0xc355, 0x6680
0xe6ee, 0xa2f4
0xbe04, 0x1041
0xa103, 0x2158
0x898a, 0x5530
0xd53a, 0x2d56
0x451e, 0xf3a0
0xa26e, 0xf07c
0x907e, 0xbbae
0x4e, 0xce4e
0x33a1, 0xa306
0xfe66, 0xbca2
0x5c25, 0x5c77
0x573f, 0xa13f
0xc245, 0xc2bd
0x83db, 0x5565
0x4a20, 0xf55e
0x292, 0xd79
0xafce, 0xa63d
0x83a7, 0x5365
0xf8ef, 0xf703
0xac06, 0xab01
0xf775, 0xf727
0x3a71, 0xd592
0xa80, 0xf38b
0xda51, 0xdb6b
0x87c2, 0xfd48
